x,y,angle
0.0,0.0,75.44419540053585
3.103448275862069,11.952108820255877,75.02886109324562
6.206896551724138,23.21121489588605,73.66097516704268
9.310344827586206,33.124496910603625,70.88170207712687
12.413793103448276,41.11716662011107,65.47061117139009
15.517241379310345,46.72579601108674,53.88795136239157
18.620689655172413,49.625187612524726,25.205215594784185
21.724137931034484,49.64722997499311,-24.545056524127535
24.82758620689655,46.790645046399305,-53.623839904359365
27.93103448275862,41.22106227553287,-65.3554418321973
31.03448275862069,33.261415146741726,-70.82399795838819
34.13793103448276,23.373216970309286,-73.63113437598048
37.241379310344826,12.129801588716777,-75.01586498237225
40.3448275862069,0.18308054624375092,-75.44410196649318
43.44827586206897,-11.774255804619036,-75.04164380399588
46.55172413793103,-23.04890161850323,-73.69050365625152
49.6551724137931,-32.987134559777076,-70.93883647372847
52.758620689655174,-41.0127196887652,-65.58448717782599
55.86206896551724,-46.66032050249084,-54.148405679562764
58.96551724137931,-49.6024799033555,-25.857998794261967
62.06896551724138,-49.668606695229016,23.877583299006076
65.17241379310344,-46.85486673896902,53.356009592046654
68.27586206896552,-41.32440526205588,65.23896063760061
71.37931034482759,-33.39788743246837,70.76571795232229
74.48275862068965,-23.53490566973997,73.60097892506232
77.58620689655173,-12.307331727596678,75.00265461525082
80.6896551724138,-0.36615863784615355,75.44382165857625
83.79310344827586,11.596244926359747,75.05421395514892
86.89655172413794,22.886279314366394,73.71972216841004
90.0,32.84932993593945,72.69840863781086
